ID,Year,FavColor,Region,Age,Breakfast,Height,Handspan,Pinkylen,Gender
143,2016,Green,West,60,Dairy,61,8.7,2.66,M
790,2016,Grey,East,47,Fruit,57,8.3,2.49,F
626,2016,Brown,East,53,Grain,60,8.9,2.67,M
215,2016,Green,East,68,Dairy,66,9.5,3.48,F
203,2016,Green,East,57,None,69,10.3,3.26,M
817,2016,Other,West,42,Meat,71,10.7,3.51,M
683,2016,Grey,West,53,Fruit,72,10.4,3.16,F
552,2016,Green,East,61,Multiple,58,8.3,2.46,M
570,2016,Brown,West,64,Multiple,57,8.6,3.14,F
308,2016,Green,East,67,Multiple,68,9.9,3.42,M
829,2016,Green,East,67,Fruit,58,8.8,2.77,F
321,2016,Brown,East,47,Dairy,60,8.6,2.81,F
577,2016,Grey,East,63,Dairy,61,8.8,3.04,M
147,2016,Green,West,51,Dairy,59,8.9,2.77,M
172,2016,Brown,West,60,Fruit,62,9.3,2.78,F
764,2016,Grey,East,59,Meat,70,10.6,3.7,F
381,2016,Other,West,69,Multiple,60,8.6,2.62,F
706,2016,Grey,East,51,None,65,9.7,3,F
922,2016,Green,East,67,Meat,64,9.5,3.29,M
663,2016,Other,East,42,Fruit,58,8.8,3.22,F
652,2016,Other,East,46,Fruit,57,8.3,3.06,F
574,2016,Grey,West,70,Fruit,63,9.2,2.95,F
113,2016,Green,West,59,Meat,61,8.8,3.26,M
841,2016,Grey,East,54,Dairy,71,10.6,3.61,F
362,2016,Green,West,56,Multiple,57,8.7,2.64,F
482,2016,Green,East,47,Dairy,65,9.6,3.43,F
748,2016,Other,East,59,Fruit,67,10,3.48,M
393,2016,Brown,East,53,Multiple,62,9.2,3.03,M
324,2016,Green,East,51,Multiple,60,9.1,3.25,M
926,2016,Other,West,43,Grain,71,10.6,3.59,M
682,2016,Brown,West,68,None,58,8.9,3.02,F
729,2016,Other,East,63,Fruit,72,10.7,3.88,F
773,2016,Other,West,59,None,58,8.3,3.08,M
945,2016,Other,East,61,Multiple,59,8.9,3.19,F
429,2016,Other,East,66,Multiple,58,8.4,3.09,F
542,2016,Green,East,61,Meat,72,10.5,3.66,F
118,2016,Green,West,68,Dairy,58,8.8,2.65,F
636,2016,Grey,West,58,Multiple,63,9,2.94,F
840,2016,Green,East,53,Multiple,62,9.1,2.76,F
762,2016,Green,West,63,Fruit,58,8.3,3.05,F
722,2016,Other,East,48,Multiple,62,8.9,2.93,M
349,2016,Green,East,67,Dairy,63,9.5,2.93,M
949,2016,Green,East,49,Fruit,67,10.2,3.15,F
964,2016,Grey,East,44,Meat,62,9,2.94,F
500,2016,Green,West,50,Fruit,59,8.8,2.69,M
447,2016,Other,West,64,Dairy,56,8.4,2.53,F
239,2016,Green,East,63,Dairy,68,10.1,3.04,M
427,2016,Brown,West,49,Dairy,70,10.6,3.21,M
249,2016,Other,East,45,Grain,63,9.1,3.33,M
923,2016,Green,East,67,Multiple,61,9.3,3.43,F
164,2016,Grey,East,42,Multiple,62,9.1,2.79,F
868,2016,Other,East,43,Dairy,67,10.1,3.1,M
315,2016,Grey,West,64,None,60,8.6,3.09,F
770,2016,Green,West,57,Dairy,71,10.7,3.69,M
365,2016,Other,East,48,Multiple,62,8.9,2.93,F
838,2016,Grey,West,51,Multiple,69,10.2,3.27,F
303,2016,Other,East,51,Multiple,69,9.9,3.02,M
